trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.12043140467613536, 'e': 0.8668236844266883}",20,0,-36.31379583288612,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
88,False,"{'a': 0.11804670308801683, 'e': 0.8638164109095605}",20,0,-5.389379717569851,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.11570922175511056, 'e': 0.8607780400949321}",25,0,-97.3423529723399,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
90,False,"{'a': 0.11341802565371652, 'e': 0.8577086813638242}",25,0,-223.33783332292978,"{0: 13, 1: 0, 2: 6, 3: 3, 4: 3}",0
91,False,"{'a': 0.11117219827484447, 'e': 0.8546084452128195}",25,0,-109.45682442658189,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
92,False,"{'a': 0.10897084125759811, 'e': 0.8514774432500848}",25,0,-47.629508292223385,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.1068130740298187, 'e': 0.8483157881913526}",20,0,-177.46290135723825,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
94,False,"{'a': 0.10469803345584452, 'e': 0.8451235938558634}",35,8,-77.20957350754351,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 1}",1
95,False,"{'a': 0.1026248734912451, 'e': 0.8419009751622687}",25,0,-129.54204915316777,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
96,False,"{'a': 0.10059276484439204, 'e': 0.8386480481244933}",30,0,-252.0515914555014,"{0: 18, 1: 0, 2: 5, 3: 3, 4: 4}",0
97,False,"{'a': 0.0986008946447315, 'e': 0.8353649298475595}",20,0,-197.82358217122453,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
98,False,"{'a': 0.0986008946447315, 'e': 0.8320517385233703}",25,0,-218.27792084546533,"{0: 14, 1: 0, 2: 5, 3: 3, 4: 3}",0
99,False,"{'a': 0.0986008946447315, 'e': 0.8287085934264558}",20,13,4.013866835810584,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.0986008946447315, 'e': 0.8253356149096783}",20,0,-89.10117414039335,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
101,False,"{'a': 0.0986008946447315, 'e': 0.8219329243999002}",20,0,-106.81298376766712,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.0986008946447315, 'e': 0.8185006443936125}",30,0,-268.7015658393894,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
103,False,"{'a': 0.0986008946447315, 'e': 0.8150388984525244}",25,0,-203.0908797581747,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
104,False,"{'a': 0.0986008946447315, 'e': 0.8115478111991162}",20,0,-138.24296573335974,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
105,False,"{'a': 0.0986008946447315, 'e': 0.8080275083121519}",25,0,-152.81839160655034,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
106,False,"{'a': 0.0986008946447315, 'e': 0.8044781165221552}",30,24,8.38131140722216,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.0986008946447315, 'e': 0.8008997636068472}",20,0,-101.94083432857984,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
108,False,"{'a': 0.0986008946447315, 'e': 0.7972925783865464}",20,15,-2.9066218809919295,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.0986008946447315, 'e': 0.7936566907195313}",25,0,-170.48857754917515,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
110,False,"{'a': 0.0986008946447315, 'e': 0.7899922314973651}",20,0,-41.884800326135924,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
111,False,"{'a': 0.0986008946447315, 'e': 0.786299332640184}",20,0,-2.850827708993109,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.0986008946447315, 'e': 0.7825781270919481}",25,11,-93.27286308836341,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
113,False,"{'a': 0.0986008946447315, 'e': 0.7788287488156552}",25,11,-128.45737208938408,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 2}",1
114,False,"{'a': 0.0986008946447315, 'e': 0.7750513327885183}",30,0,-106.49473277654693,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
115,False,"{'a': 0.0986008946447315, 'e': 0.7712460149971065}",20,0,-86.85893255144308,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
116,False,"{'a': 0.0986008946447315, 'e': 0.7674129324324493}",20,6,-87.51079780069823,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
117,False,"{'a': 0.0986008946447315, 'e': 0.7635522230851051}",20,0,-71.20240911454114,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
118,False,"{'a': 0.0986008946447315, 'e': 0.7596640259401933}",25,0,-137.20218652372628,"{0: 13, 1: 0, 2: 9, 3: 3, 4: 0}",0
119,False,"{'a': 0.0986008946447315, 'e': 0.7557484809723913}",20,0,-93.94118453500688,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.0986008946447315, 'e': 0.7518057291408949}",25,0,-89.27206291668946,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
121,False,"{'a': 0.0986008946447315, 'e': 0.7478359123843445}",30,19,-81.01413306446413,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 1}",1
122,False,"{'a': 0.0986008946447315, 'e': 0.7438391736157144}",25,0,-124.12150302023089,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
123,False,"{'a': 0.0986008946447315, 'e': 0.7398156567171686}",20,0,-65.58340515638649,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
124,False,"{'a': 0.0986008946447315, 'e': 0.7357655065348812}",20,0,-42.952489967563835,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
125,False,"{'a': 0.0986008946447315, 'e': 0.7316888688738209}",35,25,-37.307372334666695,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
126,False,"{'a': 0.0986008946447315, 'e': 0.7275858904925034}",30,17,-84.76620672274122,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
127,False,"{'a': 0.0986008946447315, 'e': 0.7234567190977075}",20,7,-88.0904281228104,"{0: 6, 1: 0, 2: 6, 3: 0, 4: 1}",1
128,False,"{'a': 0.0986008946447315, 'e': 0.7193015033391573}",35,0,-126.65496632301863,"{0: 25, 1: 0, 2: 7, 3: 2, 4: 1}",0
129,False,"{'a': 0.0986008946447315, 'e': 0.7151203928041714}",25,11,-43.384963453063975,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.0986008946447315, 'e': 0.7109135380122773}",30,21,-0.6928248266625314,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.0986008946447315, 'e': 0.7066810904097934}",20,8,-4.38116094257558,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.0986008946447315, 'e': 0.7024232023643763}",20,0,-13.964986256770315,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.0986008946447315, 'e': 0.6981400271595356}",25,0,-46.744395105100544,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
134,False,"{'a': 0.0986008946447315, 'e': 0.6938317189891162}",25,5,-92.33506981232176,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
135,False,"{'a': 0.0986008946447315, 'e': 0.689498432951747}",20,0,-84.05665632137989,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
136,False,"{'a': 0.0986008946447315, 'e': 0.6851403250452572}",20,0,-45.94028636421781,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
137,False,"{'a': 0.0986008946447315, 'e': 0.6807575521610608}",20,9,-34.00614989638045,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.0986008946447315, 'e': 0.6763502720785084}",30,0,-161.4790578950046,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
139,False,"{'a': 0.0986008946447315, 'e': 0.671918643459207}",25,2,-50.87001922882603,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 0}",1
140,False,"{'a': 0.0986008946447315, 'e': 0.6674628258413081}",30,0,-54.02104873884699,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
141,False,"{'a': 0.0986008946447315, 'e': 0.6629829796337648}",20,0,-58.01275710420107,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
142,False,"{'a': 0.0986008946447315, 'e': 0.6584792661105568}",20,0,-99.22310112130381,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
143,False,"{'a': 0.0986008946447315, 'e': 0.6539518474048844}",35,0,-265.7535031620087,"{0: 20, 1: 0, 2: 9, 3: 2, 4: 4}",0
144,False,"{'a': 0.0986008946447315, 'e': 0.6494008865033323}",25,0,-98.55490645969005,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
145,False,"{'a': 0.0986008946447315, 'e': 0.6448265472400012}",30,7,-121.8260002611432,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 2}",1
146,False,"{'a': 0.0986008946447315, 'e': 0.6402289942906106}",30,0,-218.47844895201624,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 5}",0
147,False,"{'a': 0.0986008946447315, 'e': 0.6356083931665703}",25,0,-35.374904730751396,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
148,False,"{'a': 0.0986008946447315, 'e': 0.6309649102090216}",30,11,-25.912657887623933,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
149,False,"{'a': 0.0986008946447315, 'e': 0.6262987125828494}",20,0,-82.37181171342507,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
150,False,"{'a': 0.0986008946447315, 'e': 0.6216099682706644}",25,0,-81.3418550883884,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
